field_name,total_samples,exact_match_rate,normalized_match_rate,substring_match_rate,extraction_failure_rate,character_error_rate
authority,400,0.0,0.0,0.005,1.0,1.0
authority_eng,100,0.0,0.0,0.0,1.0,1.0
authority_line0,100,0.0,0.0,0.18,1.0,1.0
authority_line1,100,0.0,0.0,0.0,1.0,1.0
birth_country,100,0.0,0.0,0.99,1.0,1.0
birth_date,1000,0.0,0.0,0.608,1.0,1.0
birth_date_2,100,0.0,0.0,0.0,1.0,1.0
birth_date_22,100,0.0,0.0,0.0,1.0,1.0
birth_place,500,0.0,0.0,0.074,1.0,0.8
birth_place_eng,100,0.0,0.0,0.99,1.0,0.99
birth_place_line0,100,0.0,0.0,0.02,1.0,0.02
birth_place_line1,67,0.0,0.0,0.0,1.0,0.0
birth_place_line2,27,0.0,0.0,0.0,1.0,0.0
code,500,0.0,0.0,0.948,1.0,1.0
expiry_date,900,0.0,0.0,0.36,1.0,1.0
expiry_date2,100,0.0,0.0,0.0,1.0,1.0
expiry_date_2,100,0.0,0.0,1.0,1.0,1.0
gender,1000,0.0,0.0,0.801,1.0,0.9
height,200,0.0,0.0,0.31,1.0,1.0
id_number,700,0.0,0.0,0.54,1.0,1.0
issue_date,800,0.0,0.0,0.4612,1.0,1.0
issue_place,100,0.0,0.0,0.0,1.0,1.0
mrz_line0,400,0.0,0.0,0.965,1.0,1.0
mrz_line1,400,0.0,0.0,0.25,1.0,1.0
name,1000,0.0,0.0,0.495,1.0,0.8
name_code,100,0.0,0.0,0.0,1.0,1.0
name_eng,200,0.0,0.0,1.0,1.0,1.0
nationality,800,0.0,0.0,0.6388,1.0,1.0
nationality/nationality_eng,100,0.0,0.0,0.0,1.0,1.0
number,999,0.0,0.0,0.5395,1.0,1.0
number2,100,0.0,0.0,0.99,1.0,1.0
number3,100,0.0,0.0,0.99,1.0,1.0
patronymic,100,0.0,0.0,0.0,1.0,0.0
residence_line0,100,0.0,0.0,0.02,1.0,1.0
residence_line1,100,0.0,0.0,0.0,1.0,1.0
surname,1000,0.0,0.0,0.334,1.0,0.8
surname_eng,200,0.0,0.0,1.0,1.0,1.0
surname_second,100,0.0,0.0,0.54,1.0,1.0
type,400,0.0,0.0,1.0,1.0,1.0
